Start recording training loss ...
0	0	6.4905595779418945
0	1	4.231820106506348
0	2	3.254214286804199
0	3	2.6576061248779297
0	4	2.1681222915649414
0	5	2.4249000549316406
0	6	2.2863528728485107
0	7	1.8047734498977661
0	8	2.715718984603882
0	9	3.408006191253662
0	10	4.7626848220825195
0	11	3.4090657234191895
0	12	4.178750038146973
0	13	1.7158304452896118
0	14	2.419405460357666
0	15	3.140845775604248
0	16	2.904615879058838
0	17	3.5443336963653564
0	18	3.220679998397827
0	19	2.670121908187866
0	20	2.4103598594665527
0	21	2.7815444469451904
0	22	2.5312771797180176
0	23	2.66888427734375
0	24	2.1847689151763916
0	25	1.9639239311218262
0	26	1.4433284997940063
0	27	2.5134711265563965
0	28	3.4009807109832764
0	29	2.325982093811035
0	30	1.6377097368240356
0	31	3.6279406547546387
0	32	2.8429980278015137
0	33	1.4271767139434814
